abbot
quid
quilting
quip
quisling
rancor
rankle
rankled
rapt
recondite
reconnoiter
reel
refectory
reify
remonstrance
reticence
retinue
revelers
reveller
rheumy
rickety
rickety
ridge
rigging
rile
rosace
rosary
rout
rueful
rueful
ruminate
rungs
rusalka
russet
sable
sag
sag
sagging
sagging
sappy
satchel
satchel
saucepan
saunter
saunter
scabrous
scabrous
scald
scampering
scant
scarper
scattering
scintillate
scorn
scorn
scowl
scowl
scrawled
scrawny
scrivener
scrub
scrubbing
scullion
scum
scurry
seamstress
sec
sedge
seeps
seething
self-effacing
Shackled
shafts
shambles
sheaf
shear
sheen
shin
shingle
shingle
shirting
shirty
shivery
shrift
Shrike
shrug
shunt
sill
silt
simoon
sinew
singe
skald
skein
skid
skidded
skirting
skitter
slab
slab
slabs
slant
slat
slather
slog
slop
sloshed
slouch
slovenly
sluice
snarl
snigger
snub
solace
sole
somersault
soot
spatter
speckle
spoor
sprain
sprawl
spriggans
spur
squalor
squelch
squint
squint
squinting
stalwart
stammer
stately
steeple
steepling
stele
stifle
stocky
stoop
stooped
straggler
strew
striae
striga
strut
stubble
stubble
stucco
sty
sulk
sullen
sult
superbly
supine
surges
surly
swaddled
swat
swathe
swathe
swathed
swelter
swerve
swindler
swivel
swivelled
swoon
sycophantic
tabard
tantamount
tantrum
tantrums
taper
tardy
tarp
tart
tartly
taut
tawdry
teeps
teeter
tempest
tendril
terrine
tethered
thatch
thaw
thon
thoroughfare
thoroughfares
threadbare
thrifty
throb
thumping
tiers
tinsel
tithe
titty
tonsure
topiary
totter
tousle
traipse
trickle
trifle
trifling
trollop
trough
truncheon
truncheons
tuft
tug
tumbler
Tut
twaddle
twanged
umber
Umpteen
unerringly
ungird
urchin
ute
vagrant
valedictorian
veer
veneer
veracity
vie
votive
wanly
warren
weathered
wedge
weir
wharf
wheedle
wheedle
wheeze
whisked
whittling
wiggling
wilt
wince
winding
wistful
wobbly
wont
woof
wriggle
writhe
writhing
wryly
yaw
yowl
